trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
195,False,"{'a': 0.5, 'e': 0.024999999999999183}",25,0,-86.1819492436679,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.01999999999999918}",25,0,-84.49379076578292,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
197,False,"{'a': 0.5, 'e': 0.01499999999999918}",30,0,-192.87159503815835,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
198,False,"{'a': 0.5, 'e': 0.00999999999999918}",20,0,-87.23544264929232,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
199,False,"{'a': 0.5, 'e': 0.00499999999999918}",25,2,-23.3544578819224,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.5, 'e': -8.205242041370298e-16}",20,0,-140.57128067848754,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-121.48110873473799,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-159.98804195804777,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-191.7363777234693,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-181.658126621485,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-114.73715628449992,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-73.59107391117614,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,10,-38.490153571941235,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-163.61910861635081,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,12,4.541966808511902,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-98.64823792378357,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",30,2,-136.16871060868053,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 2}",1
12,True,"{'a': 0.0, 'e': 0.0}",20,0,-217.22806254314193,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.40786796682949,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-104.45472363285663,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
15,True,"{'a': 0.0, 'e': 0.0}",30,0,-112.14381035652706,"{0: 20, 1: 6, 2: 2, 3: 0, 4: 2}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,0,-157.30308004010277,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,True,"{'a': 0.0, 'e': 0.0}",25,13,-35.61322881487621,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,0,-85.27684419344372,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-190.71056015411725,"{0: 5, 1: 5, 2: 7, 3: 1, 4: 2}",0
20,True,"{'a': 0.0, 'e': 0.0}",25,0,-163.50415066203686,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
21,True,"{'a': 0.0, 'e': 0.0}",30,0,-71.99712421455908,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",20,0,-65.37823390287228,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
23,True,"{'a': 0.0, 'e': 0.0}",25,1,-18.83979724739352,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",25,0,-198.00726059831024,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
25,True,"{'a': 0.0, 'e': 0.0}",20,0,-43.811254604617545,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",25,0,-76.94588683653296,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,0,-52.92972212007159,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",25,0,-119.06794567042547,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
29,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.48188512935279,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
30,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.8040566743396,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",25,0,-162.3282379328663,"{0: 9, 1: 8, 2: 5, 3: 2, 4: 1}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.877888319864276,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",20,0,-43.19326767961624,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",30,0,-329.0293174969519,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 7}",0
35,True,"{'a': 0.0, 'e': 0.0}",20,2,-75.68104687247029,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
36,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.08234505730624,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
37,True,"{'a': 0.0, 'e': 0.0}",30,0,-224.3930741482928,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
38,True,"{'a': 0.0, 'e': 0.0}",25,0,-98.12790340764766,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
