trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.4, 'e': 0.2249847025840002}",25,18,13.332330501572418,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.2229598402607442}",25,0,-31.582185971526556,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
167,False,"{'a': 0.4, 'e': 0.2209532016983975}",20,13,12.774891527304902,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': 0.21896462288311191}",25,12,8.376615291911826,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.2169939412771639}",20,6,17.28882884073876,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.21504099580566943}",20,12,11.798217525369287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.4, 'e': 0.2131056268434184}",25,13,20.027429560214003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.21118767620182766}",30,1,28.853001667604097,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.2092869871160112}",20,10,-75.43442961765165,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
174,False,"{'a': 0.4, 'e': 0.2074034042319671}",20,9,20.916406601853183,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.2055367735938794}",30,23,0.4336322501180385,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.20368694263153447}",25,19,10.937816903999726,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.4, 'e': 0.20185376014785067}",20,9,20.15411966720443,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4, 'e': 0.20003707630652}",25,0,-29.065946380748795,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.4, 'e': 0.19823674261976132}",20,16,7.13114361441797,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.4, 'e': 0.19645261193618346}",25,10,15.519345560797202,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.19468453842875783}",20,1,-46.96616216683134,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
182,False,"{'a': 0.4, 'e': 0.192932377582899}",25,7,29.349239345811686,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.19119598618465292}",25,14,20.944412759065656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.18947522230899105}",35,21,-13.536091077460592,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.4, 'e': 0.18776994530821015}",25,13,-34.542718139257886,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
186,False,"{'a': 0.4, 'e': 0.18608001580043626}",35,19,31.056722504534665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.4, 'e': 0.18440529565823233}",20,0,-54.1783441748273,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
188,False,"{'a': 0.4, 'e': 0.18274564799730825}",25,15,-25.068911441786483,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
189,False,"{'a': 0.4, 'e': 0.18110093716533246}",25,15,15.06340395406256,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.4, 'e': 0.17947102873084447}",20,2,24.047058075605335,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.4, 'e': 0.17785578947226688}",25,14,20.11876988643702,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.4, 'e': 0.17625508736701648}",20,0,-2.6028674207269544,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
193,False,"{'a': 0.4, 'e': 0.17466879158071333}",30,19,18.09961113222414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.4, 'e': 0.1730967724564869}",20,10,-33.558733718246465,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.4, 'e': 0.17153890150437853}",30,18,2.2850106204813603,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
196,False,"{'a': 0.4, 'e': 0.16999505139083912}",30,19,8.680472530077141,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.4, 'e': 0.16846509592832157}",20,16,7.370415817767103,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.4, 'e': 0.16694891006496668}",25,11,-44.687035418708135,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
199,False,"{'a': 0.4, 'e': 0.16544636987438197}",20,15,10.340793739570646,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.4, 'e': 0.16395735254551252}",20,13,15.556118021543906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.4, 'e': 0.1624817363726029}",25,19,9.963900770817965,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.4, 'e': 0.16101940074524948}",30,22,16.375444790184076,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.4, 'e': 0.15957022613854224}",25,15,19.305261419546042,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.4, 'e': 0.15813409410329538}",20,14,9.649697728608954,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.4, 'e': 0.15671088725636573}",30,11,25.778898731944096,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.4, 'e': 0.15530048927105844}",35,13,-17.309964788640805,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
207,False,"{'a': 0.4, 'e': 0.1539027848676189}",20,0,-20.683871688090203,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
208,False,"{'a': 0.4, 'e': 0.15251765980381035}",20,10,9.906243971801498,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.4, 'e': 0.15114500086557606}",30,17,11.961684376188963,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.4, 'e': 0.14978469585778587}",20,13,14.356372721897008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.4, 'e': 0.1484366335950658}",20,8,21.311149886786573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.4, 'e': 0.14710070389271018}",25,10,25.69129253732098,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.4, 'e': 0.14577679755767578}",20,10,-6.453453999110685,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
